"Reference","Qty","MPN"
"R11,R19","2","RC0402FR-070RL"
"R71,R82,R89,R91,R92,R93,R96,R97,R107","9","CR0402PC0RS001"
"SH1,SH2","2","RMCF0805ZT0R00"
"C80","1","CL10B102KB8NNNC"
"C1","1","C0402C222J3GAC7867"
"C185,C197,C206,C215,C216,C227,C228,C237,C238,C246,C247","11","GRM033R71C472KE14D"
"C309","1","KGM05AR71C103KH"
"C167,C175","2","GRM033R71C103KE14D"
"C17,C57,C140,C276,C277,C278,C279,C280,C281,C282,C283,C284,C285,C286,C310,C317,C318,C323,C324,C325,C326,C329,C330,C331,C332,C334,C335,C336,C337","29","CC0402JRX7R7BB472"
"C65,C72,C74,C78,C79,C82,C86,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C131,C134,C135,C136,C137,C138,C139,C142,C143,C144,C145,C146,C147,C149,C150,C152,C153,C161,C164,C181,C186,C192,C211,C222,C225,C253,C254","58","GRM033Z71C104KE14D"
"C47,C71,C275","3","GRM033R61C224KE14D"
"C287,C288,C289,C290","4","GCJ188R72A223KA01D"
"L8,L9","2","DFE252012F-R47M=P2 "
"C56","1","GRM155R61H105ME05D"
"C87,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C160,C163,C171,C172,C174,C176,C177,C179,C180,C182,C183,C184,C187,C188,C189,C191,C194,C195,C196,C198,C199,C200,C201,C203,C204,C205,C207,C208,C209,C210,C213,C214,C217,C218,C219,C220,C221,C223,C224,C226,C229,C230,C231,C232,C233,C234,C235,C236,C239,C240,C241,C242,C243,C244,C245,C248,C249,C250,C251,C293,C294,C295,C296,C297,C298,C299,C302,C303,C304,C305,C306,C307,C308","91","JMK063ABJ105KP-F"
"L7","1","DFE201612E-2R2M=P2"
"C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C18,C19,C24,C25,C26,C48,C60,C252,C257,C258,C259,C260,C261,C262,C263,C264,C265,C266,C268,C269,C270,C271,C272,C273","39","CM05X5R475M16AH"
"L6","1","IHLP4040DZER4R7MA1"
"C35,C36,C40,C41,C42,C43,C46,C66,C67,C70","10","CL31A106KOHNNNE"
"C320,C321,C322,C328,C333,C338","6","GRM155R61A106ME11D"
"C21,C22,C23,C29,C30,C31,C32,C33,C34,C37,C38,C39,C44,C45,C49,C50,C51,C52,C53,C54,C55,C58,C59,C61,C62,C64,C69","27","KGM05DR50J226MH"
"C68,C73,C75,C76,C77,C83,C84,C85,C255,C256,C267","11","CL10A226MO7JZNC"
"C129,C130,C133,C141,C151,C154,C155,C156,C157,C158,C165,C166,C168,C169,C170,C173,C178,C190,C193,C202,C212,C274","22","GRM158R61A226ME15D"
"C20,C27,C28","3","GYC1H330MCW1GS"
"C63","1","GCM155R71E223KA55J"
"R88,R100,R101,R102,R103,R104,R105,R109","8","CR0201JM39RS01"
"R55,R56","2","RC0201FR-07100RL"
"R63,R64","2","RC1005F151CS"
"R35,R36,R37,R38","4","RK73G1ETTP2000F"
"R75","1","RK73G1ETTP2200F"
"R34,R67,R68","3","CR0402FC240RS1"
"R40","1","ERJ-2RKF4990X"
"R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52","12","RC0201FR-07604RL"
"R3","1","RC0402FR-071KL "
"R59,R69,R70","3","WR04X1501FTL"
"R95","1","ERJ-2RKF2001X"
"R8","1","RC0402FR-073K16L"
"R4","1","CR0402-FX-4531GLF"
"R13,R14","2","RC0402FR-074K7L"
"R57,R72,R73,R74","4","RN73R1ETTP4701F50"
"R22","1","RC0402FR-076K98L"
"R20","1","RC0402FR-077K15L"
"R7,R9,R12,R16,R17,R21,R24,R27","8","CR0402-FX-1002GLF"
"R33,R62,R65,R66,R78,R80,R84,R85,R86,R87,R94,R106","12","NRC04F1002TRF"
"R39","1","CR0402FC15KS01"
"R2","1","CR0402-FX-3002GLF"
"R15","1","CR0402-FX-4422GLF"
"R23","1","CR0402-FX-5602GLF"
"R1","1","CR0402-FX-1693GLF"
"R25,R29","2","CR0402-FX-1803GLF"
"R26,R30","2","CR0402FC360KS1"
"R53,R54,R108","3","CR0402FC1MS001"
"C132,C148,C159,C162,C291,C292,C300,C301,C319,C327","10","KGM03ACG1E270KH"
"D2,D3,D7,D8,D9,D10,D11,D12","8","SD0603S040S0R2"
"L1,L2,L3,L4,L5,SW3","6","74404024010"
"R5,R10,R18","3","RC0402FR-07100KL"
"R6,R31,R90","3","RC0402FR-07100RL"
"R58,R60,R61,R79,R81","5","CR0402FC100KS1"
"FB1,FB3,FB4,FB5,FB6","5","BLM15PD121SN1D"
"FB2","1","MMZ0603S241HT000"
"FB7,FB8","2","BMC1JY0240AN"
"Q1,Q3,Q5","3","2SK3018-TP "
"J1","1","3-1827253-6"
"U15,U16","2","9FGV0241AKLF"
"Y1,Y3,Y4,Y5","4","ABM3B-25.000MHZ-D4Y-T"
"Y2","1","ABM3B-27.000MHZ-D3Y-T"
"U8","1","APX811-26UG-7"
"J3","1","B10B-PHDSS "
"D5","1","BQ-0603G027-H3YYD0N-E0"
"HS1","1","HSB07-202009 "
"U14","1","IS25LP256D-JLLE"
"U4","1","LDCL015MR"
"U1","1","MC34PF4210A1ES"
"U9","1","MIMX8MD6DVAJZAB"
"U5,U7","2","MP2147GD-Z"
"U12","1","MT53E1G32D2FW-046_WT:A"
"SW1,SW2","2","NANOT160AS"
"Q4,Q8,Q9","3","NX3020NAKS"
"D1","1","P4SMA30CA"
"U13","1","SDINBDG4-16G-I2"
"U2","1","SIC402ACD-T1-GE3"
"U10","1","SIT1630AI-S4-DCC-32.768G"
"Q2","1","SI7309DN-T1-E3"
"U11","1","TLV803EB26RDBZR"
"U6","1","TPS62840"
"U3","1","TPS78412QDBVRQ1"
"U17","1","VSC8541XMV-02"
